iter	RMSE
0	1336655.034
1	1332841.274
2	1329073.336
3	1325336.848
4	1321655.224
5	1318760.188
6	1315037.939
7	1311440.699
8	1307981.613
9	1304368.041
10	1301347.112
11	1298562.317
12	1295123.792
13	1292287.001
14	1288915.477
15	1286042.083
16	1282608.636
17	1280272.088
18	1276852.293
19	1273799.243
20	1270467.23
21	1267478.684
22	1264634.07
23	1262049.064
24	1258785.278
25	1255586.336
26	1252372.535
27	1249823.742
28	1246687.804
29	1244274.342
30	1241864.16
31	1239347.16
32	1236283.924
33	1233633.404
34	1230628.557
35	1227647.188
36	1225234.948
37	1223319.951
38	1221122.624
39	1218412.214
40	1216238.535
41	1214458.01
42	1212310.483
43	1209461.345
44	1206734.69
45	1204556.055
46	1202109.254
47	1200415.386
48	1198172.625
49	1195522.836
50	1193407.149
51	1191396.668
52	1189661.63
53	1187304.53
54	1185130.775
55	1183409.537
56	1181357.622
57	1178771.903
58	1176292.96
59	1174614.694
60	1172990.153
61	1170672.343
62	1168581.953
63	1166353.316
64	1164048.274
65	1161644.272
66	1159590.568
67	1157453.796
68	1155977.494
69	1154486.848
70	1153036.489
71	1151562.366
72	1149347.498
73	1147983.35
74	1146089.167
75	1144195.829
76	1142236.082
77	1140276.904
78	1138898.845
79	1137104.313
80	1135774.274
81	1134434.413
82	1132598.606
83	1130354.824
84	1128537.691
85	1126741.067
86	1124830.247
87	1123413.659
88	1122713.105
89	1120693.807
90	1119377.755
91	1117384.202
92	1116700.327
93	1115318.357
94	1113341.813
95	1111637.264
96	1109677.977
97	1108395.757
98	1106650.886
99	1105194.593
100	1103319.718
101	1102696.236
102	1100794.162
103	1099950.724
104	1099343.569
105	1097773.399
106	1095894.555
107	1094100.402
108	1092436.631
109	1090638.895
110	1089961.049
111	1089257.934
112	1088524.896
113	1086759.828
114	1086559.607
115	1085361.293
116	1083650.601
117	1081827.637
118	1080113.771
119	1078376.092
120	1077683.69
121	1077487.553
122	1077304.737
123	1075748.497
124	1074012.525
125	1073861.046
126	1071960.172
127	1071735.882
128	1070708.396
129	1068966.111
130	1068758.483
131	1068079.066
132	1067235.018
133	1067049.241
134	1066846.251
135	1066663.444
136	1066432.282
137	1066250.369
138	1066037.936
139	1065802.148
140	1065216.045
141	1063588.293
142	1063392.189
143	1063216.147
144	1061972.517
145	1060747.389
146	1060554.56
147	1060381.794
148	1060155.325
149	1059965.307
150	1058248.086
151	1057134.144
152	1056932.744
153	1055824.41
154	1055624.385
155	1055437.945
156	1053731.717
157	1053507.785
158	1053323.643
159	1053127.545
160	1052062.813
161	1050956.388
162	1049550.983
163	1048031.836
164	1047869.764
165	1047677.57
166	1046552.953
167	1046341.56
168	1046181.36
169	1045982.916
170	1044487.107
171	1043372.872
172	1043165.855
173	1042991.607
174	1042805.721
175	1041726.281
176	1040693.737
177	1039673.008
178	1039530.135
179	1039334.819
180	1039182.792
181	1038139.763
182	1037988.906
183	1037820.814
