iter	Passed	Remaining
0	303	30040
1	475	23305
2	648	20975
3	797	19141
4	954	18139
5	1086	17028
6	1222	16240
7	1381	15884
8	1544	15616
9	1720	15485
10	1896	15345
11	2056	15083
12	2190	14661
13	2348	14426
14	2491	14120
15	2644	13883
16	2787	13608
17	2927	13334
18	3078	13123
19	3256	13024
20	3407	12817
21	3599	12761
22	3766	12610
23	3934	12459
24	4084	12253
25	4226	12030
26	4363	11797
27	4508	11592
28	4662	11414
29	4808	11220
30	4946	11009
31	5085	10807
32	5265	10691
33	5416	10513
34	5565	10335
35	5709	10150
